schedule,schedule_type,reason
"Thứ 2 - Thứ 7 (từ 22:00 đến 07:00) | 6 buổi/tuần, làm việc theo ca và lịch nghỉ hàng tuần do quản lý sắp xếp | Thời gian làm việc ở kho Vĩnh Long: | Ca đêm: 22:00 – 07:00",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | Thứ 7 (từ 09:00 đến 18:00) | Nghỉ Thứ 7 cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 làm việc cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Sáng thứ 7 nếu dự án có yêu cầu.,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 11:30) | Nghỉ trưa từ 11h30 - 13h,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | 02 thứ 7 làm việc tại nhà,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 7 (từ 08:30 đến 12:00) | - 2 buổi sáng Thứ 7/tháng: 8h30 - 12h00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | Nghỉ thứ 7 cách tuần,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 16:30) | Theo ca tại cửa hàng,T2-T7,header-T6+sat-body
• Thứ 2 – Thứ 6: 8h00–12h00 | 13h30–17h30 | • Thứ 7: Làm cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:45 đến 17:00),T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Thứ 2 –  Thứ 7 ( Thứ 7 nếu không có việc cần lên vp thì CBNV được nghỉ),T2-T7,header-T7
"[""Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)\nThứ 7 (từ 08:00 đến 12:00)\nThứ 2 - Thứ 6 (từ 08:00 đến 17:30)\n2 Buổi sáng Thứ 7/tháng""]",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00): Linh hoạt theo sự sắp xếp của bộ phận,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7: 08:30 – 12:30 (Làm việc Online).,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 09:00 đến 12:00) | Sáng Thứ 7 cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Từ Thứ 2 đến Thứ 6 Và 2 Thứ 7 cách tuần,T2-T7,header-T6+sat-body
"[""Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)\nThứ 7 làm việc cách tuần""]",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | _Thứ 2 – Thứ 6: 8h30 – 18h00 | _Thứ 7: 8h30 – 12h00 | _Nghỉ trưa: 12h00 – 13h30,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:30 đến 12:30),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 16:30) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 làm 8h00 đến 14h30,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Làm việc từ Thứ 2 - Thứ 6, Thứ 7 làm cách tuần | Nghỉ trưa 12h - 13h30",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:15 đến 17:30) | Từ thứ 2 tới thứ 6 hàng tuần | Buổi sáng: 8h15 - 12h00 | Buổi chiều: 13h30 - 17h30 | Thứ 7 cách tuần | Buổi sáng: 8h15 - 12h00 | Buổi chiều: 13h30 - 16h00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:00 đến 17:00),T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 18:30),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thêm 1 thứ bảy linh hoạt trong tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | Thứ 7 làm việc luân phiên cách tuần,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 12:00) | Thứ 2 - Thứ 7 (từ 13:00 đến 17:30),T2-T7,header-T7
"Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thời gian làm việc: Thứ 2 – Thứ 6 cả ngày, Thứ 7 làm nửa ngày. Bắt đầu từ 8:30-18:00, nghỉ trưa 1h30p.",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | Từ thứ 2 – sáng thứ 7. Trong đó: | - Từ Thứ 2 đến thứ 6 hàng tuần: 8h30 – 17h30 | - Thứ 7 hàng tuần: Từ 8h00 – 12h00,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Làm 2 thứ 7/tháng,T2-T7,header-T7
"Thời gian làm việc: Thứ 2 – Thứ 6 (7h30 – 17h), Thứ 7 (nửa ngày).",T2-T6,header-T6-pure
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 làm việc tại nhà,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 2 - Sáng Thứ 7 từ 8h00 đến 17h00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Nghỉ trưa từ: 12h00 - 13h30,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | Thứ 7 (từ 09:00 đến 13:00) | Từ T2 - T6 (9h - 18h) & T7 (9h - 13h),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Và 02 thứ 7/tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 7: từ 8h30 - 12h,T2-T7,header-T6+sat-body
"9h00 - 18h00, từ thứ 2 đến thứ 6. | 9h00 - 13h00, thứ 7 (Work from home) | Nghỉ trưa 1 tiếng",T2-T6,freetext-T6
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | thứ 7 làm 2 ngày / tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 09:00 đến 18:30) | Nghỉ trưa từ 12h- 13h30 | Thứ 7 có thể WFH và chỉ đến công ty khi có yêu cầu và tính chất công việc,T2-T7,header-T7
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Làm việc từ thứ Hai đến thứ Sáu và thứ Bảy cuối cùng của tháng, giờ làm việc từ 8:30 đến 17:30 (8 giờ/ngày), ngày lễ theo quy định của nhà nước;",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 09:00 đến 16:00) | Thứ 7 làm cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 09:00 đến 19:00),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 WFH từ 8h00 đến 12h00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 12:20) | Thứ 2 - Thứ 7 (từ 13:30 đến 17:30) | Sáng: 8h30’ - 12h20’ | Chiều: 13h30’ - 17h30’,T2-T7,header-T7
"linh hoạt: 8h-17h/ 8h30-17h30/ 9h-18h, Thứ 2 - Thứ 6 và 02 Thứ 7 đầu tháng Địa điểm làm việc (đã được cập nhật theo Danh mục Hành chính mới - thêm quận/huyện cũ tương ứng để dễ dàng tra cứu) - Hà Nội: 247 Cầu Giấy, Phường Cầu Giấy (quận Cầu Giấy cũ)",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 8h-12h,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | D.	THỜI GIAN LÀM VIỆC | •	Thứ 2 - Thứ 6: 08:00 – 17:00 (Nghỉ trưa 1 tiếng). | •	Thứ 7: Làm việc buổi sáng. | •	Nghỉ lễ/tết theo luật lao động Việt Nam,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 12:30) | Thứ 2 - Thứ 6 (từ 13:30 đến 17:30) | Thứ 7 (từ 08:30 đến 17:30) | 2 thứ 7 cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Thứ 2 - Thứ 6 :08:00 đến 17h30 (nghỉ trưa từ 12:00 đến 13:30) | Thứ 7: 08:00 - 12:00,T2-T7,header-T7
Thứ 2 - Thứ 6: 9h00 - 18h00 | Thứ 7 cách tuần: 9h00 - 15h00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 09:00 đến 18:00) | Từ thứ 2 – sáng thứ 7. Trong đó: | - Từ Thứ 2 đến thứ 6 hàng tuần: 8h30 – 17h30 | - Thứ 7 hàng tuần: Từ 8h00 – 12h00,T2-T7,header-T7
-	Thời gian làm việc:  Thứ 2- Thứ 6: 8h00 - 17h00 (nghỉ trưa 12h00 – 13h30) | Thứ 7: 8h00 - 12h00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 làm cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:30 đến 16:30) | Nghỉ trưa 1 tiếng,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | 2 ngày Thứ 7/tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 17:31),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Làm 2 thứ 7 trong tháng. Thứ 7 : 8h - 16h | Nghỉ trưa 12h - 13h30,T2-T7,header-T6+sat-body
"[""Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)\nT2-T6 Giờ hành chính 8-17h30 (nghỉ trưa 1h30p), 2 thứ 7 trên tháng""]",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | 8:00 – 12:00; Chiều 13:15 – 17:15 (Từ thứ 2 đến hết sáng thứ 7 hàng tuần),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 11:30),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Nghỉ hai thứ 7 trong tháng,T2-T7,header-T7
8h30 – 18h00 Thứ 2 – Sáng Thứ 7 (Nghỉ trưa 12h00 - 13h30),T2-T7,freetext-T7
"[""Thứ 2 - Thứ 7 (từ 07:30 đến 17:00)""]",T2-T7,header-T7
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Thời gian làm việc: Từ Thứ Hai đến Thứ Bảy, làm việc từ 08h00 đến 17h30, nghỉ trưa từ 12h00 đến 13h30. | (Tổng thời gian làm việc: 8 giờ/ngày.)",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7: 8h-12h,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:30 đến 16:45),T2-T7,header-T7
Từ Thứ 2 đến Thứ 6 và Thứ 7 cách tuần.,T2-T7,freetext-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 2 - Thứ 7 (từ 08:00 đến 12:00),T2-T6,header-T6-pure
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Và 1 sáng thứ Bảy đầu tiên của tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Nghỉ trưa từ 12:00 - 13:00,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:30 đến 12:00) | Thứ 7: Làm việc online tại nhà,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | - Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | - 2 thứ 7 luân phiên: Làm việc đến 16h30,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | Trong tuần trực tiếp tại văn phòng | Thứ 7 online,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Làm việc từ thứ 2 đến thứ 7 giờ hành chính (tăng ca nếu có),T2-T7,header-T7
"Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | + Linh hoạt chọn ca và chủ động giờ giấc, không chấm công. Có 3 ca làm việc (8:00 - 17:30, 8:30 - 18:00, 9:00 - 18:30). Nghỉ trưa từ 12:00 - 13:30 (1,5h); | + Làm việc từ thứ 2 đến thứ 6, 2 sáng Thứ 7/tháng (có thể remote).",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Nghỉ Thứ 7 - 2 tuần giữa tháng,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 09:00 đến 12:00) | Sáng Thứ 7 làm việc remote,T2-T7,header-T6+sat-body
"Từ thứ 2 đến thứ 6 và buổi sáng thứ 7, sáng từ 8h00 đến 12h00, chiều từ 13h30 đến 17h30.",T2-T7,freetext-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 làm việc luân phiên cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 09:00 đến 18:00) | Ca 1: 9:00 - 12:00 | Ca 2: 13:30 - 18:00 | Thứ 7 chỉ làm buổi sáng,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | làm việc sáng thứ 7,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Ca 1: Làm việc từ 08h00 đến 17h00, nghỉ trưa từ 12h00 đến 13h30. | (Tổng thời gian làm việc: 8 giờ/ngày, nghỉ trưa 1 giờ 30 phút.)",T2-T7,header-T7
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 2-Thứ 6, Thứ 7 nghỉ xen kẽ (từ 08:00 đến 17:00)",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | Làm 2 buổi sáng thứ Bảy/tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00). | Nghỉ 2 ngày thứ Bảy/tháng.,T2-T7,header-T7
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Từ thứ 2 - sáng thứ 7 [ 1 tháng trực chiều t7 từ 2-3 buổi, linh động được lịch trực ( có hỗ trợ lương, phụ cấp thêm)]",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | Thứ 7 (từ 00:00 đến 00:00) | Monday to Friday: 9am to 6pm and overtime upon request and needs | Saturday: only upon request and needs,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 () | Full time từ 8h-17h00 (nghỉ trưa từ 12h-13h00) từ thứ 2 đến thứ 6 hàng tuần | Tháng làm 2 ngày thứ 7 trong tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | 2 thứ 7 trong tháng,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Thứ 7 làm việc tới 15h, nghỉ 2 thứ 7 mỗi tuần.",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 trong tháng làm việc so le,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | Nghỉ thứ 7 theo lịch (Nghỉ 2 T7/ tháng),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:15 đến 17:30) | Làm 02 thứ 7/ tháng cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 11:30) | Thứ 2 - Thứ 7 (từ 13:30 đến 17:30),T2-T7,header-T7
8h00 - 17h00 (Từ thứ 2 - thứ 6 và hai thứ 7 cách tuần),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 2 - Thứ 6: 9h00 - 18h00 | Thứ 7 cách tuần: 9h00 - 15h00,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:30 đến 17:30) | Sáng: 7h30-11h30 | Chiều: 13h30 - 17h30,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Nghỉ 2 thứ 7 trong tháng,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Thứ 7 làm việc xen kẽ 2 tuần/tháng,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 12:00) | Thứ 2 - Thứ 7 (từ 13:30 đến 17:30) | Sáng: 08:00 – 12:00; Chiều: 13:30-17:30,T2-T7,header-T7
- Thứ 2 - Thứ 6: 8h30 - 17h30 | - 2 sáng thứ 7/ tháng (sáng thứ 7 đầu tiên và thứ 7 cuối cùng),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Giờ hành chính: Từ 8h - 17h30 hàng ngày; từ thứ 2 đến thứ 7 (nghỉ buổi chiều các ngày thứ 7 giữa tháng).,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:45) | Thứ 2-6 từ 8h-17h45 | Thứ 7 từ 8h-16h45 (được nghỉ 2 thứ 7/tháng),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 làm việc linh hoạt vào buổi sáng (8:00 - 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | Sáng thứ 7 hàng tuần làm online,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Tháng nghỉ 02 ngày thứ 7.,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 12:00) | Thứ 2 - Thứ 7 (từ 13:30 đến 17:30),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 2 - Thứ 7 (từ 08:00 đến 12:00),T2-T6,header-T6-pure
Từ thứ 2 đến thứ 6: 08h15 - 17h15; Thứ 7: 9h00 - 12h00. Nghỉ trưa 60 phút (12h00 - 13h00). Nghỉ cố định 1 thứ Bảy ở tuần thứ hai trong tháng.,T2-T7,freetext-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 7 linh động,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:15 đến 17:30) | Thứ 2 đến Thứ 6 và 2 Thứ 7 cách tuần từ 8h15 đến 17h30, nghỉ trưa 1h15",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6: 8h - 17h | Thứ 7: 8h - 12h,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 09:00 đến 18:00) | Thứ 7 làm việc hai buổi sáng cách tuần,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Thứ Hai đến sáng Thứ Bảy (hoặc full 2 thứ 7 trong tháng),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7:  8h-12h,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Nghỉ trưa 1h30’,T2-T7,header-T7
"Thứ 2 - Thứ 7 (từ 07:30 đến 16:30) | Thứ 2 - Thứ 7 (từ 07:30 đến 16:30), Nghỉ trưa 1 tiếng",T2-T7,header-T7
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | - 8h00 – 17h30, từ thứ T2-T7 và nghỉ thứ 7 cách tuần. | - Nghỉ trưa 1,5h.",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:00) | Thứ 7 (từ 08:30 đến 11:30) | Không cố định tùy theo thời gian có thể làm việc,T2-T7,header-T6+sat-body
"Thời gian làm việc: 08g30 - 17g30 thứ Hai đến thứ Sáu, 08g30 - 12g00 thứ Bảy",T2-T7,freetext-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Nghỉ trưa từ 12h00 đến 13h00,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:00 đến 17:15) | Nghỉ 2 thứ 7/tháng,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7: Làm việc Online,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | 8h/ngày, 6 ngày/tuần",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | T2-T6: 08:00 - 17:00 | Sáng T7: 08:00 - 12:00,T2-T7,header-T7
"[""Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)\nThứ 7 (từ 08:00 đến 12:00)\nNghỉ trưa 1h30'""]",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Từ thứ 2 đến sáng thứ 7,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thời gian làm việc: Từ T2 – T6 (8h – 12h, 13h30 - 17h30), thứ 7 làm việc so le.",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 12:00) | Thứ 2 - Thứ 6 (từ 13:00 đến 17:00) | Thứ 7 (từ 09:00 đến 13:00) | Thứ 7 linh động tại nhà,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 2 - Thứ 6 (từ 08:00 đến 17:30), Nghỉ trưa 12h00 đến 13h30 | Thứ 7 (từ 08:00 đến 12:00) | Nghỉ phép 1,5 ngày + 1 ngày WFH/tháng",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:29) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
"Thứ 2 đến hét sáng thứ 7, 8h-17h30, nghỉ trưa 12h-13h30",T2-T7,freetext-sat-signal
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:30 đến 17:30),T2-T7,header-T6+sat-body
Từ thứ Hai – thứ Sáu và hai buổi sáng thứ Bảy trong tháng.,T2-T7,freetext-T6+sat
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | Thời gian nghỉ trưa 1h30 phút,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Thời gian làm việc từ Thứ 2 - Thứ 7 (Nhân viên chính thức được nghỉ 2 ngày Thứ 7/tháng),T2-T7,header-T7
"Từ thứ 2 đến hết sáng thứ 7, 8h-17h30, nghỉ trưa 12h-13h30",T2-T7,freetext-T7
Thứ 2 - Thứ 7 () | Thứ 2 – Thứ 7 (nghỉ trưa 1h30’),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | 2 ngày thứ 7 cách tuần | Nghỉ trưa 12h - 13h30,T2-T7,header-T6+sat-body
"Từ Thứ 2 - Thứ 6 (8h-17h30) , Thứ 7 làm việc và nghỉ xem kẽ. Giờ làm việc linh hoạt, áp dụng Ngày làm remote cho nhân viên chính thức.",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Thứ 7 làm cách tuần,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 07:30 đến 16:30) | Working time: Monday to Saturday: 7:30 am - 4:30 pm. Flexible take half day off on Saturday,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Thứ 7 làm việc cách tuần | Nghỉ trưa từ 12h - 13h30 | Làm việc Part Time theo ca đăng ký,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:45 đến 18:00) | Từ thứ 2 - thứ 6 | Và 2 thứ 7/tháng,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00) | Địa chỉ cũ: 346 Bến Vân Đồn, P.1, Q.4, TP.HCM (Lầu 5, Block A1) | Thời gian làm việc: Thứ 2 – sáng Thứ 7 | Sáng: 8h00 – 12h00 | Chiều: 13h30 – 17h30",T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Sáng 8h00-12h00, chiều 13h30-17h30",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:15 đến 17:15) | Thứ Bảy nghỉ cách tuần,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Làm 2 thứ 7, nghỉ 2 thứ 7 theo lịch của công ty",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:45) | Thứ 7 (từ 08:30 đến 12:00),T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:30) | Nghỉ trưa: 1,5 tiếng",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 18:00) | Làm full 2 thứ 7/tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | Và thứ 7 đầu tiên trong tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | 1 ngày thứ 7 trong tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | (Nghỉ trưa từ 12:00 – 13:00),T2-T7,header-T6+sat-body
"[""Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)\ntừ thứ 2 – thứ 6 & 2 sáng thứ 7/tháng""]",T2-T7,header-T6+sat-body
Thời gian làm việc: Từ thứ 2 đến thứ 6: 08h15 - 17h15; Thứ 7: 9h00 - 12h00. Nghỉ trưa 60 phút (12h00-13h00). Nghỉ cố định 1 thứ Bảy ở tuần thứ hai trong tháng.,T2-T7,freetext-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 2 - Thứ 6(từ 08:00 đến 17:30). Thứ 7(từ 8:00 đến 12:00),T2-T6,header-T6-pure
"[""Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)""]",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 tuần lẻ,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 18:00) | Làm việc từ thứ 2 đến thứ 6 và 2 thứ 7 luân phiên,T2-T7,header-T7
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | T7 làm WFH,T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | 8h - 17h30 từ thứ 2 – thứ 6 và 2 thứ 7/tháng,T2-T7,header-T6+sat-body
